ID,CODE,NAME,BARCODE,ราคา,นำเข้าครั้งล่าสุด,เหลือในสต็อค,ยอดขายวันนี้
1701524P2035,H-MA-P2035,ผ้าปิดจมูกผู้ใหญ่ช้าง 12 ตัว,8854594925315,59.00,100,98,2
1701524P2036,H-MA-B2035,ผ้าปิดจมูกผู้ใหญ่ช้าง 12 ตัว,8854594925322,59.00,100,100,0
1701524P2037,H-MA-W2037,ผ้าปิดจมูกผู้ใหญ่ช้าง 4 ช่อง,8854594925339,59.00,100,100,0
1701524P2038,H-MA-P2037,ผ้าปิดจมูกผู้ใหญ่ช้าง 4 ช่อง,8854594925346,59.00,100,100,0
1701524P2039,H-MA-B2037,ผ้าปิดจมูกผู้ใหญ่ช้าง 4 ช่อง,8854594925353,59.00,100,100,0
1701524P2040,H-MA-W2227,ผ้าปิดจมูกผู้ใหญ่ช้างไชโย,8854594925360,59.00,100,100,0
1701524P2041,H-MA-P2227,ผ้าปิดจมูกผู้ใหญ่ช้างไชโย,8854594925377,59.00,100,100,0
1701524P2042,H-MA-B2227,ผ้าปิดจมูกผู้ใหญ่ช้างไชโย,8854594925384,59.00,100,100,0
1701524P2043,H-MA-W2099,ผ้าปิดจมูกผู้ใหญ่ช้างขี่ตุ๊ก,8854594925391,59.00,100,100,0
1701524P2044,H-MA-P2099,ผ้าปิดจมูกผู้ใหญ่ช้างขี่ตุ๊ก,8854594925407,59.00,100,100,0
1701524P2045,H-MA-B2099,ผ้าปิดจมูกผู้ใหญ่ช้างขี่ตุ๊ก,8854594925414,59.00,100,100,0
1701524P2046,H-MA-WA895K,Magnolia / ดำ,8854594925421,59.00,100,100,0
1701524P2047,H-MA-PA895K,Magnolia / ดำ,8854594925438,59.00,100,100,0
1701524P2048,H-MA-BA895K,Magnolia / ดำ,8854594925445,59.00,100,100,0
1701524P2049,H-MA-WA895W,Magnolia / ขาว,8854594925452,59.00,100,100,0
1701524PA895W,H-MA-PA895W,Magnolia / ขาว,8854594925469,59.00,100,100,0
1701524BA895W,H-MA-BA895W,Magnolia / ขาว,8854594925476,59.00,100,100,0
1701524WA895Y,H-MA-WA895Y,Magnolia / เหลือง,8854594925483,59.00,100,100,0
